StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
110,0,196001,2.26,29.46,2.24,2.24,1.58,2.24,6,910,0.01,-0.2,-0.62,0.65,0.56,0.22,0.22,20.16,38.75
110,0,196002,2.59,30.52,2.69,2.69,2.03,2.69,4,801,1.02,0.66,0.36,0.89,0.68,0.31,0.26,20.61,40.46
110,0,196003,2.12,35.91,0.02,2.43,0.06,2.39,6,840,-0.79,0.21,0.13,0.5,0.7,0.33,0.12,24.6,47.21
110,0,196004,2.15,52.59,-0.48,1.7,-1.44,0.98,36,298,-0.84,-1.08,-0.23,-0.65,0.44,0.38,-0.12,39.83,65.32
110,0,196005,2.87,59.31,-0.33,1.63,0.32,1.01,76,177,-0.06,-0.55,-0.82,-0.36,0.32,0.21,-0.04,46.2,72.41
110,0,196006,2.69,69.08,-0.5,1.25,-0.63,0.34,212,38,-0.61,-0.44,-0.72,-0.49,-0.04,0.22,-0.19,55.74,82.38
110,0,196007,2.68,73.89,-0.52,1.06,-0.2,0.05,298,10,-0.34,-0.6,-0.51,-0.55,-0.75,0.09,-0.53,60.26,87.49
110,0,196008,2.83,72.21,-0.25,1.16,0.63,0.39,291,14,0.57,0.1,-0.28,-0.76,-0.44,0.13,-0.41,59.14,85.28
110,0,196009,2.21,66.45,-0.65,0.62,-1.27,-0.58,173,56,-0.62,-0.11,-0.25,-0.68,-0.53,-0.15,-0.6,53.1,79.81
110,0,196010,2.4,54.77,-0.4,0.73,0.55,-0.23,57,271,0.33,-0.12,0.1,-0.27,-0.4,-0.62,-0.37,42.26,67.28
110,0,196011,2.05,42.73,-0.63,-0.63,-0.82,-0.63,15,532,-0.29,0.03,-0.24,-0.36,-0.69,-0.49,-0.41,31.39,54.05
110,0,196012,1.9,30.4,-1.05,-1.05,-1.44,-1.05,3,953,-0.85,-0.73,-0.4,-0.45,-0.69,-0.62,-0.19,20.08,40.69
